Tube,Description
1645-M,Thunnus atlanticus
1645-N,Thunnus atlanticus
1645-O,Thunnus atlanticus
1645-P,Thunnus atlanticus
1645-Q,Thunnus atlanticus
1645-R,Thunnus atlanticus
1645-S,Thunnus atlanticus
1645-T,Thunnus atlanticus
1646-A,Thunnus atlanticus
1647-A,Thunnus atlanticus
1647-B,Thunnus atlanticus
1647-F,Thunnus atlanticus
1647-G,Thunnus atlanticus
1647-H,Thunnus atlanticus
1647-I,Thunnus atlanticus
1647-J,Thunnus atlanticus
1647-K,Thunnus atlanticus
1647-L,Thunnus atlanticus
1647-M,Thunnus atlanticus
1647-N,Thunnus atlanticus
1647-O,Thunnus atlanticus
1647-P,Thunnus atlanticus
1647-Q,Thunnus atlanticus
1648-A,Thunnus atlanticus
1648-B,Thunnus atlanticus
1648-C,Thunnus atlanticus
1648-D,Thunnus atlanticus
1648-E,Thunnus atlanticus
1648-F,Thunnus atlanticus
1648-G,Thunnus atlanticus
1653-A,Thunnus albacares
1680-A,Scomberomorus cavalla
1847-A,Scomberomorus cavalla
1856-A,Scomberomorus cavalla
1856-B,Scomberomorus cavalla
1859-A,Lopholatilus chamaeleonticeps
1860-A,Lopholatilus chamaeleonticeps
